,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crimetype
164,Udupi,5.0,11.0,0.0,38.0,1,0,2,0,1,Accident case
165,Udupi,2.0,11.0,1.0,36.0,0,0,0,0,2,Accident case
166,Kundapur,5.0,11.0,0.0,29.0,1,0,1,0,1,Accident case
167,Udupi,4.0,11.0,0.0,21.0,0,0,0,0,2,Accident case
171,Kollur,5.0,11.0,1.0,34.0,0,0,2,1,2,Other case
172,Udupi,4.0,11.0,0.0,29.0,1,0,3,1,1,Accident case
173,Amasebailu,4.0,11.0,1.0,27.0,1,0,2,0,1,Accident case
174,Kundapur,3.0,11.0,0.0,40.0,1,0,1,0,1,Theft case
175,Udupi,2.0,11.0,0.0,23.0,1,0,2,0,1,Theft case
176,Manipal,0.0,11.0,0.0,39.0,1,0,2,5,1,Other case
177,Byndoor,4.0,12.0,0.0,35.0,1,0,3,0,1,Accident case
178,Shankaranarayana,4.0,12.0,1.0,25.0,0,0,0,0,2,Accident case
179,Kota,4.0,12.0,0.0,35.0,1,0,1,0,1,Accident case
180,Udupi,1.0,6.0,0.0,48.0,1,0,2,2,1,Other case
181,Kundapur,3.0,12.0,1.0,22.0,0,0,1,2,2,Violence Act in case
182,Kundapur,3.0,12.0,1.0,28.0,0,0,0,2,2,Violence Act in case
183,Kundapur,2.0,12.0,0.0,14.0,1,0,1,0,1,Violence Act in case
184,Karkala,3.0,12.0,1.0,38.0,0,0,0,0,2,Other case
185,Kundapur,6.0,12.0,0.0,37.0,1,0,1,0,1,Accident case
186,Kundapur,3.0,12.0,1.0,39.0,0,0,0,0,2,Accident case
187,Karkala,2.0,12.0,0.0,48.0,0,0,0,0,2,Accident case
188,Udupi,2.0,12.0,0.0,22.0,0,0,0,2,2,Accident case
190,Shankaranarayana,3.0,12.0,1.0,53.0,1,0,1,1,1,Other case
191,Udupi,1.0,11.0,0.0,28.0,0,0,0,0,2,Other case
192,Udupi,2.0,12.0,0.0,39.0,0,0,0,0,2,Missing case
193,Karkala,3.0,12.0,1.0,39.0,0,0,2,3,2,Accident case
194,Udupi,2.0,12.0,1.0,25.0,0,0,2,1,2,Accident case
195,Karkala,3.0,12.0,1.0,39.0,0,0,0,1,2,Accident case
196,Kota,2.0,12.0,0.0,40.0,0,0,0,0,2,Accident case
197,Udupi,3.0,12.0,1.0,35.0,1,0,1,4,1,Violence Act in case
198,Kota,2.0,12.0,0.0,40.0,0,0,1,1,2,Accident case
199,Udupi,2.0,12.0,1.0,41.0,1,0,1,0,1,Accident case
200,Hebri,1.0,12.0,1.0,20.0,1,0,1,1,1,Accident case
201,Byndoor,1.0,12.0,0.0,21.0,1,0,4,1,1,Accident case
202,Udupi,1.0,12.0,1.0,39.0,0,0,0,0,2,Theft case
203,Udupi,4.0,12.0,0.0,35.0,0,1,1,1,0,Other case
